group,n_group,n_agent,missing_Agent,AgentUser%,AgentDaily%,CopilotOnly%,AgentPlanned%,AgentNo%,n_change,missing_Change,GreatChange%
Dev: AI apps or physical AI,236,151,85,55.6,40.4,12.6,14.6,17.2,149,87,45.0
AI/ML engineer,677,445,232,49.9,27.9,15.3,16.6,18.2,441,236,31.3
Founder,431,325,106,46.2,25.8,8.9,23.7,21.2,322,109,32.9
Senior executive,528,412,116,45.1,21.8,14.3,20.6,19.9,412,116,25.7
Manager,1370,1016,354,40.4,16.0,13.9,22.5,23.2,1010,360,21.0
Architect,2684,2037,647,38.1,17.2,14.0,20.8,27.0,2028,656,17.7
Dev: mobile,1391,952,439,37.1,18.6,15.5,19.5,27.8,945,446,19.5
Dev: front-end,1974,1387,587,36.4,17.7,14.7,17.5,31.4,1377,597,18.6
Dev: full-stack,12351,9113,3238,32.5,15.5,14.5,16.8,36.2,9053,3298,17.2
Data scientist,574,429,145,31.2,11.4,15.2,20.7,32.9,424,150,19.8
Data/Business analyst,351,240,111,31.2,14.2,12.9,21.7,34.2,239,112,16.7
Dev: back-end,6453,4687,1766,30.6,14.0,14.6,17.5,37.3,4657,1796,12.8
Security,370,271,99,30.3,14.4,9.6,17.7,42.4,270,100,21.9
Data engineer,770,560,210,29.8,14.8,16.8,22.3,31.1,560,210,18.0
Dev: QA or test,343,243,100,29.2,10.3,15.6,20.6,34.6,242,101,12.4
DevOps engineer,1053,804,249,27.6,11.1,15.0,17.2,40.2,793,260,16.9
Cloud infra engineer,441,306,135,27.5,13.7,11.8,22.2,38.6,304,137,16.1
Academic researcher,1131,833,298,26.2,10.9,9.0,15.1,49.7,826,305,15.7
Student,3008,2096,912,25.0,10.5,12.3,13.2,49.5,2077,931,15.1
Support engineer or analyst,251,179,72,24.6,12.3,11.2,21.2,43.0,176,75,12.5
Other,1825,1303,522,24.4,10.5,10.1,17.7,47.8,1288,537,16.3
Applied scientist,297,229,68,23.6,7.4,14.8,17.9,43.7,227,70,9.7
Sysadmin,480,348,132,21.8,8.6,12.9,14.9,50.3,348,132,14.9
Dev: desktop or enterprise applications,1919,1492,427,20.6,7.3,14.2,16.0,49.1,1475,444,9.2
Dev: embedded applications or devices,1274,984,290,19.8,6.2,12.3,12.8,55.1,977,297,8.8
Retired,458,341,117,14.7,4.4,10.6,12.6,62.2,331,127,7.9
Dev: game or graphics,451,337,114,14.5,5.6,9.8,14.2,61.4,332,119,7.5
