Role,group,n_group,n_AISelect,missing_AISelect,AnyUser%,Frequent%,n_Trust,missing_Trust,Trust%,n_Complex,missing_Complex,ComplexConf%,n_Sent,missing_Sent,Favorable%,n_Threat,missing_Threat,Threat%,n_Agent,missing_Agent,AgentUser%,AdoptTrustGap,AdoptComplexGap
Dev: AI apps or physical AI,Dev: AI apps or physical AI,236,163,73,92.6,87.7,156,80,51.3,156,80,50.6,161,75,83.2,189,47,21.2,151,85,55.6,41.3,42.0
AI/ML engineer,AI/ML engineer,677,484,193,91.9,86.0,471,206,49.3,472,205,45.3,479,198,79.1,554,123,19.5,445,232,49.9,42.6,46.6
Senior executive,Senior executive,528,427,101,87.1,75.6,422,106,37.4,423,105,35.2,423,105,74.2,449,79,8.7,412,116,45.1,49.7,51.9
Founder,Founder,431,338,93,87.0,76.3,335,96,39.1,332,99,35.2,336,95,74.7,359,72,9.5,325,106,46.2,47.9,51.8
Dev: front-end,Dev: front-end,1974,1484,490,86.9,76.0,1464,510,39.8,1463,511,36.0,1472,502,66.8,1618,356,19.3,1387,587,36.4,47.1,50.9
Dev: mobile,Dev: mobile,1391,1045,346,85.4,73.3,1021,370,41.4,1022,369,37.7,1029,362,70.3,1148,243,20.7,952,439,37.1,44.0,47.7
Manager,Manager,1370,1069,301,83.3,68.2,1062,308,38.7,1059,311,34.9,1065,305,71.5,1153,217,15.4,1016,354,40.4,44.6,48.4
Data engineer,Data engineer,770,595,175,83.0,69.6,589,181,39.4,587,183,32.2,590,180,67.6,652,118,15.0,560,210,29.8,43.6,50.8
Product manager,Product manager,205,154,51,82.5,66.9,151,54,47.7,149,56,36.2,151,54,77.5,169,36,16.0,138,67,35.5,34.8,46.3
Dev: full-stack,Dev: full-stack,12351,9554,2797,82.4,70.1,9448,2903,33.3,9443,2908,31.1,9481,2870,62.1,10209,2142,14.8,9113,3238,32.5,49.1,51.3
Data scientist,Data scientist,574,449,125,82.4,69.5,448,126,38.8,447,127,39.6,449,125,66.1,492,82,13.8,429,145,31.2,43.6,42.8
Architect,Architect,2684,2152,532,82.3,69.1,2124,560,34.1,2121,563,32.1,2134,550,66.2,2304,380,14.2,2037,647,38.1,48.2,50.2
Dev: back-end,Dev: back-end,6453,4936,1517,81.2,67.8,4876,1577,30.5,4873,1580,26.0,4897,1556,59.5,5324,1129,15.4,4687,1766,30.6,50.7,55.2
Cloud infra engineer,Cloud infra engineer,441,328,113,79.6,61.3,322,119,23.0,323,118,21.4,327,114,53.8,353,88,13.9,306,135,27.5,56.6,58.2
DevOps engineer,DevOps engineer,1053,846,207,79.2,67.1,839,214,29.6,839,214,23.7,840,213,60.7,915,138,11.5,804,249,27.6,49.6,55.5
Dev: QA or test,Dev: QA or test,343,267,76,77.2,65.2,260,83,36.9,260,83,30.8,264,79,62.5,295,48,16.3,243,100,29.2,40.3,46.4
Security,Security,370,282,88,75.2,61.0,278,92,30.9,280,90,31.4,282,88,56.7,311,59,15.8,271,99,30.3,44.3,43.8
Student,Student,3008,2265,743,72.8,56.4,2231,777,33.0,2223,785,29.0,2240,768,48.4,2520,488,16.4,2096,912,25.0,39.8,43.8
Data/Business analyst,Data/Business analyst,351,254,97,69.7,57.9,252,99,44.0,253,98,35.2,253,98,63.2,287,64,24.4,240,111,31.2,25.7,34.5
Academic researcher,Academic researcher,1131,872,259,69.0,55.4,858,273,26.1,859,272,27.6,866,265,50.9,947,184,14.4,833,298,26.2,42.9,41.4
Dev: desktop or enterprise applications,Dev: desktop or enterprise applications,1919,1554,365,68.5,50.3,1545,374,27.6,1547,372,21.3,1554,365,49.7,1617,302,12.2,1492,427,20.6,40.9,47.2
Other,Other,1825,1379,446,67.1,49.7,1354,471,27.5,1360,465,26.7,1362,463,49.6,1498,327,13.9,1303,522,24.4,39.6,40.4
Applied scientist,Applied scientist,297,237,60,66.7,48.5,234,63,18.8,235,62,22.1,239,58,51.5,252,45,11.9,229,68,23.6,47.9,44.6
Dev: embedded applications or devices,Dev: embedded applications or devices,1274,1016,258,65.2,48.4,1011,263,21.8,1007,267,16.8,1012,262,45.4,1072,202,8.3,984,290,19.8,43.4,48.4
Sysadmin,Sysadmin,480,364,116,63.5,42.9,363,117,27.5,363,117,25.6,363,117,43.3,409,71,13.2,348,132,21.8,36.0,37.9
Support engineer or analyst,Support engineer or analyst,251,194,57,62.4,41.2,189,62,30.7,188,63,30.9,191,60,47.1,215,36,21.4,179,72,24.6,31.7,31.5
Dev: game or graphics,Dev: game or graphics,451,350,101,59.1,43.4,348,103,19.3,348,103,16.7,350,101,39.7,374,77,12.0,337,114,14.5,39.8,42.4
Retired,Retired,458,373,85,41.3,26.0,368,90,23.6,371,87,21.3,373,85,35.7,62,396,22.6,341,117,14.7,17.7,20.0
